"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14"
"11" "CARHR000010.1" "cd7298370a40d05051dcdf061df48506" 265 "Pfam" "PF00076" "RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)" 15 77 "1.3E-10" TRUE "27-04-2013" "IPR000504" "RNA recognition motif domain" "GO:0003676"
"12" "CARHR000080.1" "23d1cf81d74a15be8cab5f2ac358bf09" 300 "PANTHER" "PTHR24006" NA 33 261 "-" TRUE "27-04-2013" NA NA NA
"13" "CARHR000080.1" "23d1cf81d74a15be8cab5f2ac358bf09" 300 "SUPERFAMILY" "SSF49599" NA 174 295 "-" TRUE "27-04-2013" "IPR008974" "TRAF-like" "GO:0005515"
"14" "CARHR000080.1" "23d1cf81d74a15be8cab5f2ac358bf09" 300 "SUPERFAMILY" "SSF49599" NA 17 158 "-" TRUE "27-04-2013" "IPR008974" "TRAF-like" "GO:0005515"
"15" "CARHR000080.1" "23d1cf81d74a15be8cab5f2ac358bf09" 300 "Pfam" "PF00917" "MATH domain" 26 133 "0.065" TRUE "27-04-2013" "IPR002083" "MATH" "GO:0005515"
"16" "CARHR000080.1" "23d1cf81d74a15be8cab5f2ac358bf09" 300 "Pfam" "PF00917" "MATH domain" 180 229 "270.0" TRUE "27-04-2013" "IPR002083" "MATH" "GO:0005515"
"17" "CARHR000080.1" "23d1cf81d74a15be8cab5f2ac358bf09" 300 "ProSiteProfiles" "PS50144" "MATH/TRAF domain profile." 172 289 "-" TRUE "27-04-2013" "IPR002083" "MATH" "GO:0005515"
"18" "CARHR000080.1" "23d1cf81d74a15be8cab5f2ac358bf09" 300 "Gene3D" "G3DSA:2.60.210.10" NA 10 153 "7.0E-14" TRUE "27-04-2013" "IPR013322" "TRAF-type" NA
"19" "CARHR000080.1" "23d1cf81d74a15be8cab5f2ac358bf09" 300 "Gene3D" "G3DSA:2.60.210.10" NA 165 292 "2.8E-10" TRUE "27-04-2013" "IPR013322" "TRAF-type" NA
"20" "CARHR000080.1" "23d1cf81d74a15be8cab5f2ac358bf09" 300 "PANTHER" "PTHR24006:SF144" NA 33 261 "-" TRUE "27-04-2013" NA NA NA
"21" "CARHR000080.1" "23d1cf81d74a15be8cab5f2ac358bf09" 300 "ProSiteProfiles" "PS50144" "MATH/TRAF domain profile." 19 151 "-" TRUE "27-04-2013" "IPR002083" "MATH" "GO:0005515"
"22" "CARHR000150.1|CARHR000150.2" "578556b023431b00fc08214c2a1e9ac9" 368 "TIGRFAM" "TIGR03304" "OMP85_target: outer membrane insertion C-terminal signal" 86 91 "250.0" TRUE "27-04-2013" "IPR017690" "Outer membrane insertion C-terminal signal, omp85 target" NA
"23" "CARHR000150.1|CARHR000150.2" "578556b023431b00fc08214c2a1e9ac9" 368 "Pfam" "PF00656" "Caspase domain" 80 355 "1.5E-58" TRUE "27-04-2013" "IPR011600" "Peptidase C14, caspase catalytic" "GO:0004197|GO:0006508"
"24" "CARHR000150.1|CARHR000150.2" "578556b023431b00fc08214c2a1e9ac9" 368 "SUPERFAMILY" "SSF52129" NA 79 223 "-" TRUE "27-04-2013" NA NA NA
"25" "CARHR000150.1|CARHR000150.2" "578556b023431b00fc08214c2a1e9ac9" 368 "TIGRFAM" "TIGR01053" "LSD1: zinc finger domain, LSD1 subclass" 15 45 "1.3E-13" TRUE "27-04-2013" "IPR005735" "Zinc finger, LSD1-type" NA
"26" "CARHR000150.1|CARHR000150.2" "578556b023431b00fc08214c2a1e9ac9" 368 "Pfam" "PF06943" "LSD1 zinc finger" 18 42 "1.4E-5" TRUE "27-04-2013" "IPR005735" "Zinc finger, LSD1-type" NA
"27" "CARHR000150.1|CARHR000150.2" "578556b023431b00fc08214c2a1e9ac9" 368 "Gene3D" "G3DSA:3.40.50.1460" NA 78 366 "4.3E-90" TRUE "27-04-2013" NA NA NA
"28" "CARHR000210.2" "76d68e2c4e84bad60bc1ec6a34b1ea75" 609 "Pfam" "PF02893" "GRAM domain" 67 132 "3.2E-11" TRUE "27-04-2013" "IPR004182" "GRAM" NA
"29" "CARHR000210.2" "76d68e2c4e84bad60bc1ec6a34b1ea75" 609 "Coils" "Coil" NA 568 603 "-" TRUE "27-04-2013" NA NA NA
"30" "CARHR000210.2" "76d68e2c4e84bad60bc1ec6a34b1ea75" 609 "PANTHER" "PTHR23319" NA 24 607 "-" TRUE "27-04-2013" NA NA NA
"31" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "PANTHER" "PTHR24015:SF8" NA 18 513 "-" TRUE "27-04-2013" NA NA NA
"32" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "Gene3D" "G3DSA:1.25.40.10" NA 172 218 "4.1E-13" TRUE "27-04-2013" "IPR011990" "Tetratricopeptide-like helical" "GO:0005488"
"33" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "Gene3D" "G3DSA:1.25.40.10" NA 257 442 "4.1E-13" TRUE "27-04-2013" "IPR011990" "Tetratricopeptide-like helical" "GO:0005488"
"34" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "Pfam" "PF01535" "PPR repeat" 382 408 "0.011" TRUE "27-04-2013" "IPR002885" "Pentatricopeptide repeat" NA
"35" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "Pfam" "PF01535" "PPR repeat" 275 298 "180.0" TRUE "27-04-2013" "IPR002885" "Pentatricopeptide repeat" NA
"36" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "Pfam" "PF01535" "PPR repeat" 169 197 "1.2" TRUE "27-04-2013" "IPR002885" "Pentatricopeptide repeat" NA
"37" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "Pfam" "PF01535" "PPR repeat" 346 368 "40.0" TRUE "27-04-2013" "IPR002885" "Pentatricopeptide repeat" NA
"38" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "Pfam" "PF01535" "PPR repeat" 205 233 "110.0" TRUE "27-04-2013" "IPR002885" "Pentatricopeptide repeat" NA
"39" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "Pfam" "PF01535" "PPR repeat" 238 265 "0.14" TRUE "27-04-2013" "IPR002885" "Pentatricopeptide repeat" NA
"40" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "ProSiteProfiles" "PS51375" "Pentatricopeptide (PPR) repeat profile." 236 266 "-" TRUE "27-04-2013" "IPR002885" "Pentatricopeptide repeat" NA
"41" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "SUPERFAMILY" "SSF48452" NA 256 442 "-" TRUE "27-04-2013" NA NA NA
"42" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "ProSiteProfiles" "PS51375" "Pentatricopeptide (PPR) repeat profile." 272 302 "-" TRUE "27-04-2013" "IPR002885" "Pentatricopeptide repeat" NA
"43" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "TIGRFAM" "TIGR00756" "PPR: pentatricopeptide repeat domain" 382 412 "2.8E-6" TRUE "27-04-2013" "IPR002885" "Pentatricopeptide repeat" NA
"44" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "TIGRFAM" "TIGR00756" "PPR: pentatricopeptide repeat domain" 238 266 "6.4E-7" TRUE "27-04-2013" "IPR002885" "Pentatricopeptide repeat" NA
"45" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "TIGRFAM" "TIGR00756" "PPR: pentatricopeptide repeat domain" 169 198 "1.4E-4" TRUE "27-04-2013" "IPR002885" "Pentatricopeptide repeat" NA
"46" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "ProSiteProfiles" "PS51375" "Pentatricopeptide (PPR) repeat profile." 412 446 "-" TRUE "27-04-2013" "IPR002885" "Pentatricopeptide repeat" NA
"47" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "PANTHER" "PTHR24015" NA 18 513 "-" TRUE "27-04-2013" NA NA NA
"48" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "ProSiteProfiles" "PS51375" "Pentatricopeptide (PPR) repeat profile." 342 376 "-" TRUE "27-04-2013" "IPR002885" "Pentatricopeptide repeat" NA
"49" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "ProSiteProfiles" "PS51375" "Pentatricopeptide (PPR) repeat profile." 201 235 "-" TRUE "27-04-2013" "IPR002885" "Pentatricopeptide repeat" NA
"50" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "ProSiteProfiles" "PS51375" "Pentatricopeptide (PPR) repeat profile." 96 130 "-" TRUE "27-04-2013" "IPR002885" "Pentatricopeptide repeat" NA
"51" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "ProSiteProfiles" "PS51375" "Pentatricopeptide (PPR) repeat profile." 166 200 "-" TRUE "27-04-2013" "IPR002885" "Pentatricopeptide repeat" NA
"52" "CARHR000170.1" "7c8ac4ebdbc70ab3f5c200eaff512ef6" 518 "ProSiteProfiles" "PS51375" "Pentatricopeptide (PPR) repeat profile." 377 411 "-" TRUE "27-04-2013" "IPR002885" "Pentatricopeptide repeat" NA
"53" "CARHR000120.1" "d861a292495cd6945b9b4af3c01ee3ad" 625 "PANTHER" "PTHR11863:SF1" NA 1 482 "-" TRUE "27-04-2013" NA NA NA
"54" "CARHR000120.1" "d861a292495cd6945b9b4af3c01ee3ad" 625 "Pfam" "PF12076" "WAX2 C-terminal domain" 451 619 "1.1E-61" TRUE "27-04-2013" "IPR021940" "Uncharacterised domain Wax2, C-terminal" NA
"55" "CARHR000120.1" "d861a292495cd6945b9b4af3c01ee3ad" 625 "Pfam" "PF04116" "Fatty acid hydroxylase superfamily" 137 253 "1.5E-10" TRUE "27-04-2013" "IPR006694" "Fatty acid hydroxylase" "GO:0016491|GO:0006633|GO:0005506|GO:0055114"
"56" "CARHR000120.1" "d861a292495cd6945b9b4af3c01ee3ad" 625 "PANTHER" "PTHR11863" NA 1 482 "-" TRUE "27-04-2013" NA NA NA
"57" "CARHR000180.5" "65a91f5e4188b9885a87cc837830a098" 251 "Pfam" "PF03901" "Alg9-like mannosyltransferase family" 29 227 "1.5E-11" TRUE "27-04-2013" "IPR005599" "GPI mannosyltransferase" "GO:0016757|GO:0006506|GO:0031227"
"58" "CARHR000180.5" "65a91f5e4188b9885a87cc837830a098" 251 "PANTHER" "PTHR22760" NA 4 229 "-" TRUE "27-04-2013" "IPR005599" "GPI mannosyltransferase" "GO:0016757|GO:0006506|GO:0031227"
"59" "CARHR000050.1" "6d021314ddfc2c3cfca41824c791d2ea" 165 "Gene3D" "G3DSA:2.60.40.150" NA 4 134 "2.9E-13" TRUE "27-04-2013" NA NA NA
"60" "CARHR000050.1" "6d021314ddfc2c3cfca41824c791d2ea" 165 "Pfam" "PF00168" "C2 domain" 6 90 "9.7E-4" TRUE "27-04-2013" "IPR000008" "C2 calcium-dependent membrane targeting" "GO:0005515"
"61" "CARHR000050.1" "6d021314ddfc2c3cfca41824c791d2ea" 165 "SUPERFAMILY" "SSF49562" NA 2 136 "-" TRUE "27-04-2013" "IPR008973" "C2 calcium/lipid-binding domain, CaLB" "GO:0005515"
"62" "CARHR000180.1" "52a7e71d34bc875dfd028c46fe0233d" 498 "PANTHER" "PTHR22760" NA 4 432 "-" TRUE "27-04-2013" "IPR005599" "GPI mannosyltransferase" "GO:0016757|GO:0006506|GO:0031227"
"63" "CARHR000180.1" "52a7e71d34bc875dfd028c46fe0233d" 498 "Pfam" "PF03901" "Alg9-like mannosyltransferase family" 30 387 "6.1E-43" TRUE "27-04-2013" "IPR005599" "GPI mannosyltransferase" "GO:0016757|GO:0006506|GO:0031227"
"64" "CARHR000210.1" "1e1c06b589a669ae50e9d4c663c6f9ec" 600 "PANTHER" "PTHR23319" NA 24 598 "-" TRUE "27-04-2013" NA NA NA
"65" "CARHR000210.1" "1e1c06b589a669ae50e9d4c663c6f9ec" 600 "Coils" "Coil" NA 559 594 "-" TRUE "27-04-2013" NA NA NA
"66" "CARHR000210.1" "1e1c06b589a669ae50e9d4c663c6f9ec" 600 "Pfam" "PF02893" "GRAM domain" 67 132 "3.1E-11" TRUE "27-04-2013" "IPR004182" "GRAM" NA
"67" "CARHR000200.1" "e16a15641aec9f4e399cc2123fd691d5" 204 "PRINTS" "PR00449" "Transforming protein P21 ras signature" 50 72 "-" TRUE "27-04-2013" "IPR001806" "Small GTPase superfamily" "GO:0005525|GO:0007264"
"68" "CARHR000200.1" "e16a15641aec9f4e399cc2123fd691d5" 204 "PRINTS" "PR00449" "Transforming protein P21 ras signature" 112 125 "-" TRUE "27-04-2013" "IPR001806" "Small GTPase superfamily" "GO:0005525|GO:0007264"
"69" "CARHR000200.1" "e16a15641aec9f4e399cc2123fd691d5" 204 "PRINTS" "PR00449" "Transforming protein P21 ras signature" 147 169 "-" TRUE "27-04-2013" "IPR001806" "Small GTPase superfamily" "GO:0005525|GO:0007264"
"70" "CARHR000200.1" "e16a15641aec9f4e399cc2123fd691d5" 204 "PRINTS" "PR00449" "Transforming protein P21 ras signature" 9 30 "-" TRUE "27-04-2013" "IPR001806" "Small GTPase superfamily" "GO:0005525|GO:0007264"
"71" "CARHR000200.1" "e16a15641aec9f4e399cc2123fd691d5" 204 "PRINTS" "PR00449" "Transforming protein P21 ras signature" 32 48 "-" TRUE "27-04-2013" "IPR001806" "Small GTPase superfamily" "GO:0005525|GO:0007264"
"72" "CARHR000200.1" "e16a15641aec9f4e399cc2123fd691d5" 204 "PANTHER" "PTHR24073:SF227" NA 1 203 "-" TRUE "27-04-2013" NA NA NA
"73" "CARHR000200.1" "e16a15641aec9f4e399cc2123fd691d5" 204 "Gene3D" "G3DSA:3.40.50.300" NA 2 201 "1.3E-79" TRUE "27-04-2013" NA NA NA
"74" "CARHR000200.1" "e16a15641aec9f4e399cc2123fd691d5" 204 "TIGRFAM" "TIGR00231" "small_GTP: small GTP-binding protein domain" 7 164 "6.9E-35" TRUE "27-04-2013" "IPR005225" "Small GTP-binding protein domain" "GO:0005525"
"75" "CARHR000200.1" "e16a15641aec9f4e399cc2123fd691d5" 204 "ProSiteProfiles" "PS51419" "small GTPase Rab1 family profile." 4 203 "-" TRUE "27-04-2013" NA NA NA
"76" "CARHR000200.1" "e16a15641aec9f4e399cc2123fd691d5" 204 "SUPERFAMILY" "SSF52540" NA 4 189 "-" TRUE "27-04-2013" NA NA NA
"77" "CARHR000200.1" "e16a15641aec9f4e399cc2123fd691d5" 204 "PANTHER" "PTHR24073" NA 1 203 "-" TRUE "27-04-2013" NA NA NA
"78" "CARHR000200.1" "e16a15641aec9f4e399cc2123fd691d5" 204 "Pfam" "PF00071" "Ras family" 10 169 "2.9E-64" TRUE "27-04-2013" "IPR001806" "Small GTPase superfamily" "GO:0005525|GO:0007264"
"79" "CARHR000100.1" "90040c613115cf54cb12bc75cf0e5136" 161 "ProSiteProfiles" "PS50095" "PLAT domain profile." 27 154 "-" TRUE "27-04-2013" "IPR001024" "Lipoxygenase, LH2" "GO:0005515"
"80" "CARHR000100.1" "90040c613115cf54cb12bc75cf0e5136" 161 "Pfam" "PF01477" "PLAT/LH2 domain" 27 147 "2.5E-9" TRUE "27-04-2013" "IPR001024" "Lipoxygenase, LH2" "GO:0005515"
"81" "CARHR000100.1" "90040c613115cf54cb12bc75cf0e5136" 161 "PANTHER" "PTHR24748" NA 1 157 "-" TRUE "27-04-2013" NA NA NA
"82" "CARHR000100.1" "90040c613115cf54cb12bc75cf0e5136" 161 "Gene3D" "G3DSA:2.60.60.20" NA 28 145 "6.6E-15" TRUE "27-04-2013" "IPR001024" "Lipoxygenase, LH2" "GO:0005515"
"83" "CARHR000100.1" "90040c613115cf54cb12bc75cf0e5136" 161 "PANTHER" "PTHR24748:SF34" NA 1 157 "-" TRUE "27-04-2013" NA NA NA
"84" "CARHR000100.1" "90040c613115cf54cb12bc75cf0e5136" 161 "SUPERFAMILY" "SSF49723" NA 25 146 "-" TRUE "27-04-2013" "IPR008976" "Lipase/lipooxygenase, PLAT/LH2" NA
"85" "CARHR000130.1" "a7111928c0d21b6079a14deb9ceb8666" 631 "PANTHER" "PTHR11863" NA 1 487 "-" TRUE "27-04-2013" NA NA NA
"86" "CARHR000130.1" "a7111928c0d21b6079a14deb9ceb8666" 631 "PANTHER" "PTHR11863:SF1" NA 1 487 "-" TRUE "27-04-2013" NA NA NA
"87" "CARHR000130.1" "a7111928c0d21b6079a14deb9ceb8666" 631 "Pfam" "PF04116" "Fatty acid hydroxylase superfamily" 138 253 "1.0E-10" TRUE "27-04-2013" "IPR006694" "Fatty acid hydroxylase" "GO:0016491|GO:0006633|GO:0005506|GO:0055114"
"88" "CARHR000130.1" "a7111928c0d21b6079a14deb9ceb8666" 631 "Pfam" "PF12076" "WAX2 C-terminal domain" 456 622 "4.2E-67" TRUE "27-04-2013" "IPR021940" "Uncharacterised domain Wax2, C-terminal" NA
"89" "CARHR000100.2" "a969ebba3a1cb75b9a8b33d44749e6f0" 162 "PANTHER" "PTHR24748:SF34" NA 7 158 "-" TRUE "27-04-2013" NA NA NA
"90" "CARHR000100.2" "a969ebba3a1cb75b9a8b33d44749e6f0" 162 "SUPERFAMILY" "SSF49723" NA 25 147 "-" TRUE "27-04-2013" "IPR008976" "Lipase/lipooxygenase, PLAT/LH2" NA
"91" "CARHR000100.2" "a969ebba3a1cb75b9a8b33d44749e6f0" 162 "ProSiteProfiles" "PS50095" "PLAT domain profile." 28 155 "-" TRUE "27-04-2013" "IPR001024" "Lipoxygenase, LH2" "GO:0005515"
"92" "CARHR000100.2" "a969ebba3a1cb75b9a8b33d44749e6f0" 162 "Pfam" "PF01477" "PLAT/LH2 domain" 28 148 "2.5E-9" TRUE "27-04-2013" "IPR001024" "Lipoxygenase, LH2" "GO:0005515"
"93" "CARHR000100.2" "a969ebba3a1cb75b9a8b33d44749e6f0" 162 "Gene3D" "G3DSA:2.60.60.20" NA 29 146 "6.7E-15" TRUE "27-04-2013" "IPR001024" "Lipoxygenase, LH2" "GO:0005515"
"94" "CARHR000100.2" "a969ebba3a1cb75b9a8b33d44749e6f0" 162 "PANTHER" "PTHR24748" NA 7 158 "-" TRUE "27-04-2013" NA NA NA
"95" "CARHR000210.3" "df071174327e05dcb622000a49cfba2d" 237 "PANTHER" "PTHR23319" NA 79 236 "-" TRUE "27-04-2013" NA NA NA
"96" "CARHR000160.1" "c70509669b5e3b0ac2fb36cfbfd3861" 74 "Pfam" "PF06747" "CHCH domain" 23 57 "2.8E-4" TRUE "27-04-2013" "IPR010625" "CHCH" NA
"97" "CARHR000160.1" "c70509669b5e3b0ac2fb36cfbfd3861" 74 "Gene3D" "G3DSA:1.10.810.10" NA 20 62 "9.4E-10" TRUE "27-04-2013" "IPR009069" "MTCP1" NA
"98" "CARHR000160.1" "c70509669b5e3b0ac2fb36cfbfd3861" 74 "SUPERFAMILY" "SSF47072" NA 21 60 "-" TRUE "27-04-2013" "IPR009069" "MTCP1" NA
"99" "CARHR000130.2" "d207d1ab2b2a6232dad928b50b1b4705" 570 "PANTHER" "PTHR11863" NA 1 487 "-" TRUE "27-04-2013" NA NA NA
"100" "CARHR000130.2" "d207d1ab2b2a6232dad928b50b1b4705" 570 "PANTHER" "PTHR11863:SF1" NA 1 487 "-" TRUE "27-04-2013" NA NA NA
